pk	pn	lat	lon	link
C149	Vasiliko: (Malthi-Dorion)	37.267028	21.88245	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C149
C1537	Salamis: Kanakia: Mycenaean Acropolis	37.90021	23.411784	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1537
C1695	Ayia Triadha	35.059162	24.792941	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1695
C1976	Thebes: Kadmeia	38.320793	23.31775	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1976
C5123	Karfi	35.217619	25.470399	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C5123
C5591	Knossos: Palace Area: Egyptian Scarab	35.298776	25.162748	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C5591
C570	Teichos Dymaion/Kalograia	38.15633	21.402942	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C570
C5705	Zakros VI	35.097813	26.260101	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C5705
C729	Gla	38.484034	23.182062	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C729
C829	Mycenae	37.730296	22.75783	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C829
C922	Cape Trelli: Kalamianos	37.758713	23.151498	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C922
