pk	pn	lat	lon	link
C100	Platanos/Svina: Hab	36.785082	22.332831	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C100
C1000	Geraki	36.995002	22.705196	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1000
C1001	Vrondama	36.957291	22.624265	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1001
C1002	Krokeai: Karneas	36.878793	22.548039	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1002
C1004	Samioti Magoula	37.325038	23.175883	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1004
C1005	Flamboura Magoula	37.332493	23.169944	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1005
C1006	Misi Kheliou #2	37.325277	23.134788	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1006
C1007	Halieis	37.314915	23.152629	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1007
C1008	Dhouroufi Ridge	37.391517	23.12562	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1008
C1009	Melindra/Milindra	37.388909	23.171399	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1009
C101	Ayios Dhimitrios: Vigla	36.808851	22.297635	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C101
C1010	Bardhounia	37.379759	23.165886	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1010
C1011	Loutro/Ayios Andreas	37.402849	23.16565	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1011
C1012	Profitis Ilias	37.395636	23.170807	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1012
C1013	Ayios Athanasios	37.412922	23.179753	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1013
C1014	Loutro NW	37.412349	23.18452	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1014
C1015	Ayios Nikolaos	37.387383	23.147423	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1015
C1016	To Milo	37.384712	23.154334	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1016
